country,region,ewaste_mill_kg,ewaste_kg_capita,collected_recycled_mill_kg,national_policy,epr,collection_target,recycling_target,country_short,income,policy_level
Norway,Europe,145,26.8,107.2,TRUE,TRUE,TRUE,TRUE,Norway,high,4
Oman,Asia,71,15.7,NA,FALSE,FALSE,FALSE,FALSE,Oman,high,0
Pakistan,Asia,559,2.4,NA,FALSE,FALSE,FALSE,FALSE,Pakistan,middle,0
Palau,Oceania,0,12.2,NA,FALSE,FALSE,FALSE,FALSE,Palau,middle,0
Panama,Americas,54,12.4,0.1,FALSE,FALSE,FALSE,FALSE,Panama,high,0
Papua New Guinea,Oceania,13,1.3,NA,FALSE,FALSE,FALSE,FALSE,Papua NG,middle,0
Paraguay,Americas,57,8.4,NA,FALSE,FALSE,FALSE,FALSE,Paraguay,middle,0
Peru,Americas,221,6.5,3.4,TRUE,TRUE,TRUE,FALSE,Peru,middle,3
Philippines,Asia,537,4.7,NA,FALSE,FALSE,FALSE,FALSE,Philippines,middle,0
Poland,Europe,517,13.5,417.8,TRUE,TRUE,TRUE,TRUE,Poland,high,4
Portugal,Europe,183,17.8,60.3,TRUE,TRUE,TRUE,TRUE,Portugal,high,4
Puerto Rico,Americas,65,20,NA,FALSE,FALSE,FALSE,FALSE,Puerto Rico,high,0
Qatar,Asia,44,16.2,0.2,FALSE,FALSE,FALSE,FALSE,Qatar,high,0
South Korea,Asia,930,17.9,443.1,TRUE,TRUE,FALSE,FALSE,South Korea,high,2
Moldova,Europe,21,6.8,0.2,TRUE,TRUE,TRUE,FALSE,Moldova,middle,3
Romania,Europe,250,13,71.5,TRUE,TRUE,TRUE,TRUE,Romania,high,4
Russia,Europe,1910,13.2,120.8,TRUE,TRUE,FALSE,FALSE,Russia,middle,2
Rwanda,Africa,10,0.7,2,TRUE,TRUE,FALSE,FALSE,Rwanda,low,2
St. Kitts and Nevis,Americas,1,15,NA,FALSE,FALSE,FALSE,FALSE,St. K. & N.,high,0
Saint Lucia,Americas,2,11.4,0.03,FALSE,FALSE,FALSE,FALSE,Saint Lucia,middle,0
St. Vin. and Gren.,Americas,1,10.6,NA,FALSE,FALSE,FALSE,FALSE,St. V. & G.,middle,0
Samoa,Oceania,1,3.1,NA,FALSE,FALSE,FALSE,FALSE,Samoa,middle,0
San Marino,Europe,1,22.1,NA,FALSE,FALSE,FALSE,FALSE,San Marino,high,0
Saudi Arabia,Asia,617,17.1,NA,FALSE,FALSE,FALSE,FALSE,Saudi Arabia,high,0
Senegal,Africa,25,1.5,NA,FALSE,FALSE,FALSE,FALSE,Senegal,middle,0
